date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA100,EMA200
2011-01-21,23.12,23.59,22.71,23.04,1217000.0,26.47392586541826,27.257266536666588,26.10657359291328,24.796339344878408
2011-01-24,23.53,24.81,23.23,24.49,1645100.0,26.284980544902233,27.148746280326723,26.074562234637767,24.793291192193053
2011-01-25,24.65,24.89,24.02,24.68,1271500.0,26.132125254911543,27.051932700706068,26.046947140882562,24.792163916648846
2011-01-26,24.71,24.88,24.1,24.75,1079900.0,26.000494278253303,26.961660830090143,26.02126501928093,24.791744375189655
2011-01-27,24.74,25.08,24.53,24.92,895700.0,25.897590061276798,26.881595699498373,25.999457791176354,24.793020550560904
2011-01-28,24.88,24.88,23.75,24.01,1048400.0,25.717819579250435,26.768984103439614,25.960062587390684,24.78522930130159
2011-01-31,24.05,24.12,23.5,24.1,830300.0,25.563741524083724,26.664318060167474,25.923229664868096,24.77841109929859
2011-02-01,24.31,24.73,23.54,23.91,707800.0,25.406242331313845,26.556305587219732,25.88336373091031,24.76977019283791
2011-02-02,24.16,24.18,23.669,23.94,569500.0,25.26660020452205,26.453705368113077,25.844881280793274,24.761513773008677
2011-02-03,23.82,23.9,23.15,23.63,512000.0,25.110733518377096,26.342971824265504,25.801022245530042,24.750254929496155
2011-02-04,23.44,23.67,23.22,23.46,544000.0,24.95352080234118,26.22991410566686,25.75466536938093,24.73741657198873
2011-02-07,23.26,23.26,22.88,23.07,895100.0,24.77413786878488,26.105995905444633,25.70150367889814,24.7208253623172
2011-02-08,23.78,25.25,23.0,24.49,3504900.0,24.747077119376797,26.042623516995825,25.677513507038768,24.718528592542903
2011-02-09,24.13,24.18,22.79,23.21,2635600.0,24.600688822293293,25.93154024181952,25.62865185343404,24.703518357791232
2011-02-10,23.26,23.64,22.81,23.215,836100.0,24.46871845826536,25.825009251944245,25.580856767227424,24.688707229853012
2011-02-11,23.25,23.75,22.94,23.25,634500.0,24.35265003366866,25.72402849696604,25.534701187678365,24.674391735028603
2011-02-14,23.64,24.14,23.05,23.08,1283100.0,24.23144526855736,25.620341104928155,25.4860932433679,24.65852714065021
2011-02-15,23.01,23.17,22.56,22.84,953700.0,24.098926671551894,25.51130812042117,25.433695357360612,24.640432343230806
2011-02-16,23.1,24.97,23.0701,24.73,4115100.0,24.159028893308857,25.480668586287006,25.419760795828715,24.641323563696172
2011-02-17,24.63,25.49,23.55,23.6,2618400.0,24.10578804632706,25.40691687702085,25.38372592858458,24.630962135201685
2011-02-18,23.33,23.49,22.96,23.18,2370700.0,24.017617756200675,25.319586803412193,25.34008779138489,24.616524701020577
